"","X","pitch_uid","pitch_no","date","pa_of_inning","pitch_of_pa","pitcher_name","pitcher_id","pitcher_throws","pitcher_team_id","pitcher_team_name","batter_name","batter_id","batter_side","batter_team_id","batter_team_name","inning","top_bottom","outs","balls","strikes","pitch_type","pitch_type_abbr","pitch_call","k_or_bb","hit_type","play_result","outs_on_play","runs_scored","rel_speed","spin_rate","spin_axis","rel_height","rel_side","extension","induced_vert_break","horz_break","plate_loc_height","plate_loc_side","vert_appr_angle","horz_appr_angle","exit_speed","launch_angle","bat_speed","swing_length","distance","catcher_name","catcher_id","home_team_id","home_team_name","home_team_conf","away_team_id","away_team_name","away_team_conf","game_id","game_type","season","pitch_group","pitch_group_abbr","count_type","is_zone","is_strike","is_swing","zone_label","zone_num_14","pitch_call_prev","pitch_type_prev","pitch_group_prev","pa_id","pa_result","woba_value"
"38",38,"2024-745444-64",64,"2024-03-20",2,6,"Darvish, Yu",506433,"Right","SD","SD","Betts, Mookie",605141,"Right","LAD","LAD",3,"Top",1,3,2,"Slider","SL","InPlay",NA,"FlyBall","Out",1,0,82.7,2778,71,5.66,2.12,5.6,-3,-13.2,2.69,-0.05,-7.40329070459506,-3.48539388419552,85.4,46,NA,NA,269,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",TRUE,TRUE,TRUE,"Heart",5,"BallCalled","Fastball","Fastball","745444_3_2_506433_605141","In Play, Out",0.068808819369117
"39",39,"2024-745444-65",65,"2024-03-20",3,1,"Darvish, Yu",506433,"Right","SD","SD","Ohtani, Shohei",660271,"Left","LAD","LAD",3,"Top",2,0,0,"Fastball","FB","FoulBall",NA,NA,NA,NA,0,95.5,2348,202,5.67,1.99,6.9,19.32,7.56,2.43,-0.95,-4.52324444737829,-2.49056640094591,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","F-Pitch",FALSE,TRUE,TRUE,"Chase",13,NA,NA,NA,"745444_3_3_506433_660271",NA,NA
"40",40,"2024-745444-66",66,"2024-03-20",3,2,"Darvish, Yu",506433,"Right","SD","SD","Ohtani, Shohei",660271,"Left","LAD","LAD",3,"Top",2,0,1,"Splitter","SP","BallCalled",NA,NA,NA,NA,0,91,1828,219,5.59,2.13,5.8,8.52,5.88,0.95,-0.33,-7.36671259741572,-2.12657128706087,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Offspeed","OFF","Early",FALSE,FALSE,FALSE,"Chase",13,"FoulBall","Fastball","Fastball","745444_3_3_506433_660271",NA,NA
"41",41,"2024-745444-67",67,"2024-03-20",3,3,"Darvish, Yu",506433,"Right","SD","SD","Ohtani, Shohei",660271,"Left","LAD","LAD",3,"Top",2,1,1,"Cutter","CT","FoulBall",NA,NA,NA,NA,0,91.6,2620,178,5.69,2.05,6.1,14.76,-0.6,2.72,-0.97,-5.00730854712926,-3.2917628651891,119.2,34,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Early",FALSE,TRUE,TRUE,"Chase",11,"BallCalled","Splitter","Offspeed","745444_3_3_506433_660271",NA,NA
"42",42,"2024-745444-68",68,"2024-03-20",3,4,"Darvish, Yu",506433,"Right","SD","SD","Ohtani, Shohei",660271,"Left","LAD","LAD",3,"Top",2,1,2,"Slider","SL","BallCalled",NA,NA,NA,NA,0,84.5,2880,86,5.71,2.07,5.4,-0.36,-22.44,2.96,1.16,-6.77059302825187,-2.94804973065732,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Chase",12,"FoulBall","Cutter","Breaking Ball","745444_3_3_506433_660271",NA,NA
"43",43,"2024-745444-69",69,"2024-03-20",3,5,"Darvish, Yu",506433,"Right","SD","SD","Ohtani, Shohei",660271,"Left","LAD","LAD",3,"Top",2,2,2,"Sinker","SI","InPlay",NA,"LineDrive","Single",0,0,94.7,2322,239,5.6,2.21,5.9,11.52,17.16,3.6,0.47,-3.9764968988494,-0.334284788679979,112.3,11,NA,NA,220,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Two Strikes",FALSE,TRUE,TRUE,"Edge",12,"BallCalled","Slider","Breaking Ball","745444_3_3_506433_660271","In Play, Single",0.856746866331502
"44",44,"2024-745444-70",70,"2024-03-20",4,1,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,0,0,"Cutter","CT","BallCalled",NA,NA,NA,NA,0,90.5,2575,178,5.64,2.15,5.9,13.44,-0.36,4.13,0.85,-3.6907589418626,-1.42183363144854,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","F-Pitch",FALSE,FALSE,FALSE,"Chase",12,NA,NA,NA,"745444_3_4_506433_518692",NA,NA
"45",45,"2024-745444-71",71,"2024-03-20",4,2,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,1,0,"Curveball","CB","StrikeCalled",NA,NA,NA,NA,0,73.1,2615,41,5.67,1.7,5.9,-17.04,-16.32,2.97,0.65,-9.25618276138002,-2.56392158476327,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Early",TRUE,TRUE,FALSE,"Edge",3,"BallCalled","Cutter","Breaking Ball","745444_3_4_506433_518692",NA,NA
"46",46,"2024-745444-72",72,"2024-03-20",4,3,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,1,1,NA,NA,"StrikeSwinging",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,NA,NA,"Early",NA,TRUE,TRUE,NA,NA,"StrikeCalled","Curveball","Breaking Ball","745444_3_4_506433_518692",NA,NA
"47",47,"2024-745444-73",73,"2024-03-20",4,4,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,1,2,"Curveball","CB","BallCalled",NA,NA,NA,NA,0,70.1,2540,29,5.54,1.64,6,-19.92,-12.36,0.58,0.58,-12.1696048536591,-2.22598091765182,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Chase",14,"StrikeSwinging",NA,NA,"745444_3_4_506433_518692",NA,NA
